   Log,     Log  ,    Log  , Remote, Op Type:,  AirCon,  AirCon,Compresr,Compresr,Compresr,Compresr,Compresr,Compresr,Compresr,    EEV,   EEV,    'C,    'C,    'C,    'C,    'C,    'C,    'C,  Thermal,  OU Fan,  OU Fan,  OU Fan,RemotFan,  IUFan,  IU Fan,4Way,ACIT Ver.,ACIT Ver.,Thm. Cut,Thm. Cut,Tc Protect,Te Protect,Td Protect,CurProtct,HeatSink,OutTemp,SuctProtc,VoltProtc,DewProt.,SleepLimt,  Defrost,TotalTime,     'C,Model,     'C,Voltage,Voltage, Current, Current,   Error,   Error,   Error,   Error
     No,    Date,   Time,Command,USB?Play,SubMode,MainMode,Op Mode,TargtStep,MaxStep,MinStep,FinalStep,FinalFreq, RealFreq, CycleM,  Pulse,  IU Air,RemotSet, IU Pipe,Discharge, OU Pipe,OU Air,   error,    Cut,TargtStep,TargtRpm,RealRpm, TargtStep,TargtStep,TargtFreq, Valve, Time,    Date,Slow Tmr,Fast Tmr,  MaxStep, MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,ActiveAlg,Heating,Target  Td, Name,HeatSink,  Input , DCLink,OU Input ,Compressor, OU PFC,OUGenerl,OU Comp,     IU
1,27.9.2016,03:38:37,Autochange,Play x10,CYCLE-,COOLING,RegularPI    ,12,2,2,2,30,0,Regular PI  ,60, 23.7, 23.0, 1.0, 78.8, 60.0, 30.0, 1.2,OFF,12,850,0,5,5,1475,COOLING,18:08:22,Nov 16 2015,179,9,0,0,12,12,12,12,12,12,12,12,  ,0,92,SB Reference  , 45.0,230,0,12,0,0,0,0,0
2,27.9.2016,03:38:39,Autochange,Play x10,CYCLE-,COOLING,RegularPI    ,12,2,2,2,30,0,Regular PI  ,60, 23.7, 23.0, 1.0, 78.8, 60.0, 30.0, 1.2,OFF,12,850,0,5,5,1475,COOLING,18:08:22,Nov 16 2015,179,9,0,0,12,12,12,12,12,12,12,12,  ,0,92,SB Reference  , 45.0,230,0,12,0,0,0,0,0
3,27.9.2016,03:38:41,Autochange,Play x10,CYCLE-,COOLING,RegularPI    ,12,2,2,2,30,0,Regular PI  ,60, 23.7, 23.0, 1.0, 78.8, 60.0, 30.0, 1.2,OFF,12,850,0,5,5,1475,COOLING,18:08:22,Nov 16 2015,180,10,0,0,12,12,12,12,12,12,12,12,  ,0,92,SB Reference  , 45.0,230,0,12,0,0,0,0,0
4,27.9.2016,03:38:43,Autochange,Play x10,CYCLE-,COOLING,RegularPI    ,12,2,2,2,30,0,Regular PI  ,60, 23.7, 23.0, 1.4, 78.8, 60.0, 30.0, 1.2,OFF,12,850,0,5,5,1475,COOLING,18:08:22,Nov 16 2015,179,9,0,0,12,12,12,12,12,12,12,12,  ,0,92,SB Reference  , 45.0,230,0,12,0,0,0,0,0
5,27.9.2016,03:38:45,Autochange,Play x10,CYCLE-,COOLING,RegularPI    ,12,2,2,2,30,0,Regular PI  ,60, 23.7, 23.0, 2.5, 78.8, 60.0, 30.0, 1.2,OFF,12,850,0,5,5,1475,COOLING,18:08:22,Nov 16 2015,179,9,0,0,12,12,12,12,12,12,12,12,  ,0,92,SB Reference  , 45.0,230,0,12,0,0,0,0,0
6,27.9.2016,03:38:47,Autochange,Play x10,CYCLE-,COOLING,RegularPI    ,12,2,2,2,30,0,Regular PI  ,60, 23.7, 23.0, 2.5, 78.8, 60.0, 30.0, 1.2,OFF,12,850,0,5,5,1475,COOLING,18:08:22,Nov 16 2015,179,9,0,0,12,12,12,12,12,12,12,12,  ,0,92,SB Reference  , 45.0,230,0,12,0,0,0,0,0
7,27.9.2016,03:38:49,Autochange,Play x10,CYCLE-,COOLING,RegularPI    ,12,2,2,2,25,0,Regular PI  ,60, 23.7, 23.0, 2.5, 78.8, 54.0, 30.0, 1.2,OFF,12,850,0,5,5,1475,COOLING,18:08:22,Nov 16 2015,179,9,0,0,12,12,12,12,12,12,12,12,  ,0,92,SB Reference  , 45.0,230,0,12,0,0,0,0,0
8,27.9.2016,03:38:51,Autochange,Play x10,CYCLE-,COOLING,RegularPI    ,12,2,2,2,30,0,Regular PI  ,60, 23.7, 23.0, 2.5, 78.8, 54.0, 30.0, 1.2,OFF,12,850,0,5,5,1475,COOLING,18:08:22,Nov 16 2015,180,10,0,0,12,12,12,12,12,12,12,12,  ,0,92,SB Reference  , 45.0,230,0,12,0,0,0,0,0
9,27.9.2016,03:38:53,Autochange,Play x10,CYCLE-,COOLING,RegularPI    ,12,2,2,2,30,0,Regular PI  ,60, 23.7, 23.0, 2.5, 78.8, 54.0, 30.0, 1.2,OFF,12,850,0,5,5,1475,COOLING,18:08:22,Nov 16 2015,179,9,0,0,12,12,12,12,12,12,12,12,  ,0,92,SB Reference  , 45.0,230,0,12,0,0,0,0,0
