   Log,     Log  ,    Log  , Remote, Op Type:,  AirCon,  AirCon,Compresr,Compresr,Compresr,Compresr,Compresr,Compresr,Compresr,    EEV,   EEV,    'C,    'C,    'C,    'C,    'C,    'C,    'C,  Thermal,  OU Fan,  OU Fan,  OU Fan,RemotFan,  IUFan,  IU Fan,4Way,ACIT Ver.,ACIT Ver.,Thm. Cut,Thm. Cut,Tc Protect,Te Protect,Td Protect,CurProtct,HeatSink,OutTemp,SuctProtc,VoltProtc,DewProt.,SleepLimt,  Defrost,TotalTime,     'C,Model,     'C,Voltage,Voltage, Current, Current,   Error,   Error,   Error,   Error
     No,    Date,   Time,Command,USB?Play,SubMode,MainMode,Op Mode,TargtStep,MaxStep,MinStep,FinalStep,FinalFreq, RealFreq, CycleM,  Pulse,  IU Air,RemotSet, IU Pipe,Discharge, OU Pipe,OU Air,   error,    Cut,TargtStep,TargtRpm,RealRpm, TargtStep,TargtStep,TargtFreq, Valve, Time,    Date,Slow Tmr,Fast Tmr,  MaxStep, MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,ActiveAlg,Heating,Target  Td, Name,HeatSink,  Input , DCLink,OU Input ,Compressor, OU PFC,OUGenerl,OU Comp,     IU
13,26.6.2015,11:40:29,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,176,6,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
14,26.6.2015,11:40:31,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,178,8,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
15,26.6.2015,11:40:33,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,177,7,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
16,26.6.2015,11:40:35,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,178,8,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
17,26.6.2015,11:40:37,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,176,6,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
18,26.6.2015,11:40:39,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,179,9,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
19,26.6.2015,11:40:41,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,179,9,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
20,26.6.2015,11:40:43,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,176,6,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
21,26.6.2015,11:40:45,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,177,7,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
22,26.6.2015,11:40:47,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,178,8,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
23,26.6.2015,11:40:49,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,180,10,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
24,26.6.2015,11:40:51,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,176,6,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
25,26.6.2015,11:40:53,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,180,10,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
26,26.6.2015,11:40:55,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,179,9,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
27,26.6.2015,11:40:57,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,178,8,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
28,26.6.2015,11:40:59,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,179,9,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
29,26.6.2015,11:41:01,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,180,10,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
30,26.6.2015,11:41:03,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,179,9,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
31,26.6.2015,11:41:05,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,179,9,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
