   Log,     Log  ,    Log  , Remote, Op Type:,  AirCon,  AirCon,Compresr,Compresr,Compresr,Compresr,Compresr,Compresr,Compresr,    EEV,   EEV,    'C,    'C,    'C,    'C,    'C,    'C,    'C,  Thermal,  OU Fan,  OU Fan,  OU Fan,RemotFan,  IUFan,  IU Fan,4Way,ACIT Ver.,ACIT Ver.,Thm. Cut,Thm. Cut,Tc Protect,Te Protect,Td Protect,CurProtct,HeatSink,OutTemp,SuctProtc,VoltProtc,DewProt.,SleepLimt,  Defrost,TotalTime,     'C,Model,     'C,Voltage,Voltage, Current, Current,   Error,   Error,   Error,   Error
     No,    Date,   Time,Command,USB?Play,SubMode,MainMode,Op Mode,TargtStep,MaxStep,MinStep,FinalStep,FinalFreq, RealFreq, CycleM,  Pulse,  IU Air,RemotSet, IU Pipe,Discharge, OU Pipe,OU Air,   error,    Cut,TargtStep,TargtRpm,RealRpm, TargtStep,TargtStep,TargtFreq, Valve, Time,    Date,Slow Tmr,Fast Tmr,  MaxStep, MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,ActiveAlg,Heating,Target  Td, Name,HeatSink,  Input , DCLink,OU Input ,Compressor, OU PFC,OUGenerl,OU Comp,     IU
1,13.2.2018,13:52:40,Cooling,Play x10,CYCLE-,COOLING,RegularPI    ,4,8,2,4,44,0,Regular PI  ,60, 22.1, 22.0, 13.3, 87.8, 58.6, 25.3, 0.6,OFF,10,780,0,5,5,1475,COOLING,13:18:33,Sep 19 2017,179,9,8,12,12,12,12,10,12,12,12,12,  ,0,92,SB Reference  , 45.0,230,0,12,0,0,0,0,0
2,13.2.2018,13:52:42,Cooling,Play x10,CYCLE-,COOLING,RegularPI    ,4,8,2,4,44,0,Regular PI  ,60, 22.1, 22.0, 13.3, 87.8, 58.6, 25.3, 0.6,OFF,10,780,0,5,5,1475,COOLING,13:18:33,Sep 19 2017,179,9,8,12,12,12,12,10,12,12,12,12,  ,0,92,SB Reference  , 45.0,230,0,12,0,0,0,0,0
3,13.2.2018,13:52:44,Cooling,Play x10,CYCLE-,COOLING,RegularPI    ,4,8,2,4,44,0,Regular PI  ,60, 22.1, 22.0, 13.3, 87.8, 58.6, 25.3, 0.6,OFF,10,780,0,5,5,1475,COOLING,13:18:33,Sep 19 2017,179,9,8,12,12,12,12,10,12,12,12,12,  ,0,92,SB Reference  , 45.0,230,0,12,0,0,0,0,0
4,13.2.2018,13:52:46,Cooling,Play x10,CYCLE-,COOLING,RegularPI    ,4,8,2,4,44,0,Regular PI  ,60, 22.1, 22.0, 13.3, 87.8, 58.6, 25.3, 0.6,OFF,10,780,0,5,5,1475,COOLING,13:18:33,Sep 19 2017,179,9,8,12,12,12,12,10,12,12,12,12,  ,0,92,SB Reference  , 45.0,230,0,12,0,0,0,0,0
5,13.2.2018,13:52:48,Cooling,Play x10,CYCLE-,COOLING,RegularPI    ,5,8,2,5,49,0,Regular PI  ,60, 22.1, 22.0, 13.3, 87.8, 58.6, 25.3, 0.6,OFF,10,780,0,5,5,1475,COOLING,13:18:33,Sep 19 2017,179,9,8,12,12,12,12,10,12,12,12,12,  ,0,92,SB Reference  , 45.0,230,0,12,0,0,0,0,0
6,13.2.2018,13:52:50,Cooling,Play x10,CYCLE-,COOLING,RegularPI    ,5,8,2,5,49,0,Regular PI  ,60, 22.1, 22.0, 13.3, 87.8, 58.6, 25.3, 0.6,OFF,10,780,0,5,5,1475,COOLING,13:18:33,Sep 19 2017,180,10,8,12,12,12,12,10,12,12,12,12,  ,0,92,SB Reference  , 45.0,230,0,12,0,0,0,0,0
7,13.2.2018,13:52:52,Cooling,Play x10,CYCLE-,COOLING,RegularPI    ,5,8,2,5,49,0,Regular PI  ,60, 22.1, 22.0, 13.3, 87.8, 58.6, 25.3, 0.6,OFF,10,780,0,5,5,1475,COOLING,13:18:33,Sep 19 2017,179,9,8,12,12,12,12,10,12,12,12,12,  ,0,92,SB Reference  , 45.0,230,0,12,0,0,0,0,0
8,13.2.2018,13:52:55,Cooling,Play x10,CYCLE-,COOLING,RegularPI    ,5,8,2,5,49,0,Regular PI  ,60, 22.1, 22.0, 13.3, 87.8, 58.6, 25.3, 0.6,OFF,10,780,0,5,5,1475,COOLING,13:18:33,Sep 19 2017,180,10,8,12,12,12,12,10,12,12,12,12,  ,0,92,SB Reference  , 45.0,230,0,12,0,0,0,0,0
9,13.2.2018,13:52:56,Cooling,Play x10,CYCLE-,COOLING,RegularPI    ,5,8,2,5,49,0,Regular PI  ,60, 22.1, 22.0, 13.3, 87.8, 58.6, 25.3, 0.6,OFF,10,780,0,5,5,1475,COOLING,13:18:33,Sep 19 2017,180,10,8,12,12,12,12,10,12,12,12,12,  ,0,92,SB Reference  , 45.0,230,0,12,0,0,0,0,0
