   Log,     Log  ,    Log  , Remote, Op Type:,  AirCon,  AirCon,Compresr,Compresr,Compresr,Compresr,Compresr,Compresr,Compresr,    EEV,   EEV,    'C,    'C,    'C,    'C,    'C,    'C,    'C,  Thermal,  OU Fan,  OU Fan,  OU Fan,RemotFan,  IUFan,  IU Fan,4Way,ACIT Ver.,ACIT Ver.,Thm. Cut,Thm. Cut,Tc Protect,Te Protect,Td Protect,CurProtct,HeatSink,OutTemp,SuctProtc,VoltProtc,DewProt.,SleepLimt,  Defrost,TotalTime,     'C,Model,     'C,Voltage,Voltage, Current, Current,   Error,   Error,   Error,   Error
     No,    Date,   Time,Command,USB?Play,SubMode,MainMode,Op Mode,TargtStep,MaxStep,MinStep,FinalStep,FinalFreq, RealFreq, CycleM,  Pulse,  IU Air,RemotSet, IU Pipe,Discharge, OU Pipe,OU Air,   error,    Cut,TargtStep,TargtRpm,RealRpm, TargtStep,TargtStep,TargtFreq, Valve, Time,    Date,Slow Tmr,Fast Tmr,  MaxStep, MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,ActiveAlg,Heating,Target  Td, Name,HeatSink,  Input , DCLink,OU Input ,Compressor, OU PFC,OUGenerl,OU Comp,     IU
1,30.10.2017,04:40:36,Cooling,Play Norm,CYCLE-,COOLING,Start 1.1,3,3,3,3,39,0,Stop Cyc .  ,450, 24.7, 22.0, 16.2, 78.6, 28.9, 25.3, 3.2,OFF,12,850,0,5,5,1475,COOLING,13:18:33,Sep 19 2017,180,10,12,12,12,12,12,10,12,12,12,12,  ,0,0,SB Reference  , 45.0,230,0,12,0,0,0,0,0
2,30.10.2017,04:40:38,Cooling,Play Norm,CYCLE-,COOLING,Start 1.1,3,3,3,3,39,0,Stop Cyc .  ,450, 24.7, 22.0, 16.2, 78.6, 28.9, 25.3, 3.2,OFF,12,850,0,5,5,1475,COOLING,13:18:33,Sep 19 2017,180,10,12,12,12,12,12,10,12,12,12,12,  ,0,0,SB Reference  , 45.0,230,0,12,0,0,0,0,0
3,30.10.2017,04:40:40,Cooling,Play Norm,CYCLE-,COOLING,Start 1.2,3,10,2,3,39,0,Start 1.1,57, 24.7, 22.0, 16.2, 78.6, 28.9, 25.3, 3.2,OFF,12,850,0,5,5,1475,COOLING,13:18:33,Sep 19 2017,180,10,12,12,12,12,12,10,12,12,12,12,  ,0,115,SB Reference  , 45.0,230,0,12,0,0,0,0,0
4,30.10.2017,04:40:42,Cooling,Play Norm,CYCLE-,COOLING,Start 1.2,3,10,2,3,39,0,Start 1.1,57, 24.7, 22.0, 16.2, 78.6, 28.9, 25.3, 3.2,OFF,12,850,0,5,5,1475,COOLING,13:18:33,Sep 19 2017,180,10,12,12,12,12,12,10,12,12,12,12,  ,0,115,SB Reference  , 45.0,230,0,12,0,0,0,0,0
5,30.10.2017,04:40:44,Cooling,Play Norm,CYCLE-,COOLING,Start 1.2,3,10,2,3,39,0,Start 1.1,57, 24.7, 22.0, 16.2, 78.6, 28.9, 25.3, 3.2,OFF,12,850,0,5,5,1475,COOLING,13:18:33,Sep 19 2017,180,10,12,12,12,12,12,10,12,12,12,12,  ,0,115,SB Reference  , 45.0,230,0,12,0,0,0,0,0
6,30.10.2017,04:40:46,Cooling,Play Norm,CYCLE-,COOLING,Start 1.2,3,10,2,3,39,0,Start 1.1,57, 24.7, 22.0, 16.2, 78.6, 28.9, 25.3, 3.2,OFF,12,850,0,5,5,1475,COOLING,13:18:33,Sep 19 2017,180,10,12,12,12,12,12,10,12,12,12,12,  ,0,115,SB Reference  , 45.0,230,0,12,0,0,0,0,0
7,30.10.2017,04:40:48,Cooling,Play Norm,CYCLE-,COOLING,Start 1.2,3,10,2,3,39,0,Start 1.1,57, 24.7, 22.0, 16.2, 78.6, 28.9, 25.3, 3.2,OFF,12,850,0,5,5,1475,COOLING,13:18:33,Sep 19 2017,180,10,12,12,12,12,12,10,12,12,12,12,  ,0,115,SB Reference  , 45.0,230,0,12,0,0,0,0,0
8,30.10.2017,04:40:50,Cooling,Play Norm,CYCLE-,COOLING,Start 1.2,3,10,2,3,39,0,Start 1.2,69, 24.7, 22.0, 16.2, 78.6, 28.9, 25.3, 3.2,OFF,12,850,0,5,5,1475,COOLING,13:18:33,Sep 19 2017,180,10,12,12,12,12,12,10,12,12,12,12,  ,0,115,SB Reference  , 45.0,230,0,12,0,0,0,0,0
9,30.10.2017,04:40:52,Cooling,Play Norm,CYCLE-,COOLING,Start 1.2,3,10,2,3,39,0,Start 1.2,69, 24.7, 22.0, 16.2, 78.6, 28.9, 25.3, 3.2,OFF,12,850,0,5,5,1475,COOLING,13:18:33,Sep 19 2017,180,10,12,12,12,12,12,10,12,12,12,12,  ,0,115,SB Reference  , 45.0,230,0,12,0,0,0,0,0
10,30.10.2017,04:40:54,Cooling,Play Norm,CYCLE-,COOLING,Start 1.2,3,10,2,3,39,0,Start 1.2,69, 24.7, 22.0, 16.2, 78.6, 28.9, 25.3, 3.2,OFF,12,850,0,5,5,1475,COOLING,13:18:33,Sep 19 2017,180,10,12,12,12,12,12,10,12,12,12,12,  ,0,115,SB Reference  , 45.0,230,0,12,0,0,0,0,0
11,30.10.2017,04:40:56,Cooling,Play Norm,CYCLE-,COOLING,Start 1.2,3,10,2,3,39,0,Start 1.2,69, 24.7, 22.0, 16.2, 78.6, 28.9, 25.3, 3.2,OFF,12,850,0,5,5,1475,COOLING,13:18:33,Sep 19 2017,180,10,12,12,12,12,12,10,12,12,12,12,  ,0,115,SB Reference  , 45.0,230,0,12,0,0,0,0,0
12,30.10.2017,04:40:58,Cooling,Play Norm,CYCLE-,COOLING,Start 1.2,3,10,2,3,39,0,Start 1.2,69, 24.7, 22.0, 16.2, 78.6, 28.9, 25.3, 3.2,OFF,12,850,0,5,5,1475,COOLING,13:18:33,Sep 19 2017,180,10,12,12,12,12,12,10,12,12,12,12,  ,0,115,SB Reference  , 45.0,230,0,12,0,0,0,0,0
