   Log,     Log  ,    Log  , Remote, Op Type:,  AirCon,  AirCon,Compresr,Compresr,Compresr,Compresr,Compresr,Compresr,Compresr,    EEV,   EEV,    'C,    'C,    'C,    'C,    'C,    'C,    'C,  Thermal,  OU Fan,  OU Fan,  OU Fan,RemotFan,  IUFan,  IU Fan,4Way,ACIT Ver.,ACIT Ver.,Thm. Cut,Thm. Cut,Tc Protect,Te Protect,Td Protect,CurProtct,HeatSink,OutTemp,SuctProtc,VoltProtc,DewProt.,SleepLimt,  Defrost,TotalTime,     'C,Model,     'C,Voltage,Voltage, Current, Current,   Error,   Error,   Error,   Error
     No,    Date,   Time,Command,USB?Play,SubMode,MainMode,Op Mode,TargtStep,MaxStep,MinStep,FinalStep,FinalFreq, RealFreq, CycleM,  Pulse,  IU Air,RemotSet, IU Pipe,Discharge, OU Pipe,OU Air,   error,    Cut,TargtStep,TargtRpm,RealRpm, TargtStep,TargtStep,TargtFreq, Valve, Time,    Date,Slow Tmr,Fast Tmr,  MaxStep, MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,ActiveAlg,Heating,Target  Td, Name,HeatSink,  Input , DCLink,OU Input ,Compressor, OU PFC,OUGenerl,OU Comp,     IU
1,8.2.2017,10:36:44,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 24.7, 23.0, 16.2, 78.6, 28.9, 25.3, 2.2,OFF,10,780,0,5,5,1475,COOLING,03:07:49,Sep 27 2016,176,6,12,12,12,12,12,10,12,12,12,12,  ,0,43,SB Reference  , 45.0,230,0,12,0,0,0,0,0
2,8.2.2017,10:36:46,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 24.7, 23.0, 16.2, 78.6, 28.9, 25.3, 2.2,OFF,10,780,0,5,5,1475,COOLING,03:07:49,Sep 27 2016,180,10,12,12,12,12,12,10,12,12,12,12,  ,0,43,SB Reference  , 45.0,230,0,12,0,0,0,0,0
3,8.2.2017,10:36:48,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 24.7, 23.0, 16.2, 78.6, 28.9, 25.3, 2.2,OFF,10,780,0,5,5,1475,COOLING,03:07:49,Sep 27 2016,178,8,12,12,12,12,12,10,12,12,12,12,  ,0,43,SB Reference  , 45.0,230,0,12,0,0,0,0,0
4,8.2.2017,10:36:50,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 24.7, 23.0, 16.2, 78.6, 28.9, 25.3, 2.2,OFF,10,780,0,5,5,1475,COOLING,03:07:49,Sep 27 2016,176,6,12,12,12,12,12,10,12,12,12,12,  ,0,43,SB Reference  , 45.0,230,0,12,0,0,0,0,0
5,8.2.2017,10:36:52,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 24.7, 23.0, 16.2, 78.6, 28.9, 25.3, 2.2,OFF,10,780,0,5,5,1475,COOLING,03:07:49,Sep 27 2016,180,10,12,12,12,12,12,10,12,12,12,12,  ,0,43,SB Reference  , 45.0,230,0,12,0,0,0,0,0
6,8.2.2017,10:36:54,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 24.7, 23.0, 16.2, 78.6, 28.9, 25.3, 2.2,OFF,10,780,0,5,5,1475,COOLING,03:07:49,Sep 27 2016,177,7,12,12,12,12,12,10,12,12,12,12,  ,0,43,SB Reference  , 45.0,230,0,12,0,0,0,0,0
7,8.2.2017,10:36:56,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 24.7, 23.0, 16.2, 78.6, 28.9, 25.3, 2.2,OFF,10,780,0,5,5,1475,COOLING,03:07:49,Sep 27 2016,175,5,12,12,12,12,12,10,12,12,12,12,  ,0,43,SB Reference  , 45.0,230,0,12,0,0,0,0,0
8,8.2.2017,10:36:58,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 24.7, 23.0, 16.2, 78.6, 28.9, 25.3, 2.2,OFF,10,780,0,5,5,1475,COOLING,03:07:49,Sep 27 2016,179,9,12,12,12,12,12,10,12,12,12,12,  ,0,43,SB Reference  , 45.0,230,0,12,0,0,0,0,0
9,8.2.2017,10:37:00,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 24.7, 23.0, 16.2, 78.6, 28.9, 25.3, 2.2,OFF,10,780,0,5,5,1475,COOLING,03:07:49,Sep 27 2016,177,7,12,12,12,12,12,10,12,12,12,12,  ,0,43,SB Reference  , 45.0,230,0,12,0,0,0,0,0
10,8.2.2017,10:37:02,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 24.7, 23.0, 16.2, 78.6, 28.9, 25.3, 2.2,OFF,10,780,0,5,5,1475,COOLING,03:07:49,Sep 27 2016,175,5,12,12,12,12,12,10,12,12,12,12,  ,0,43,SB Reference  , 45.0,230,0,12,0,0,0,0,0
11,8.2.2017,10:37:04,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 24.7, 23.0, 16.2, 78.6, 28.9, 25.3, 2.2,OFF,10,780,0,5,5,1475,COOLING,03:07:49,Sep 27 2016,179,9,12,12,12,12,12,10,12,12,12,12,  ,0,43,SB Reference  , 45.0,230,0,12,0,0,0,0,0
12,8.2.2017,10:37:06,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 24.7, 23.0, 16.2, 78.6, 28.9, 25.3, 2.2,OFF,10,780,0,5,5,1475,COOLING,03:07:49,Sep 27 2016,176,6,12,12,12,12,12,10,12,12,12,12,  ,0,43,SB Reference  , 45.0,230,0,12,0,0,0,0,0
13,8.2.2017,10:37:08,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 24.7, 23.0, 16.2, 78.6, 28.9, 25.3, 2.2,OFF,10,780,0,5,5,1475,COOLING,03:07:49,Sep 27 2016,180,10,12,12,12,12,12,10,12,12,12,12,  ,0,43,SB Reference  , 45.0,230,0,12,0,0,0,0,0
14,8.2.2017,10:37:10,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 24.7, 23.0, 16.2, 78.6, 28.9, 25.3, 2.2,OFF,10,780,0,5,5,1475,COOLING,03:07:49,Sep 27 2016,178,8,12,12,12,12,12,10,12,12,12,12,  ,0,43,SB Reference  , 45.0,230,0,12,0,0,0,0,0
15,8.2.2017,10:37:12,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 24.7, 23.0, 16.2, 78.6, 28.9, 25.3, 2.2,OFF,10,780,0,5,5,1475,COOLING,03:07:49,Sep 27 2016,175,5,12,12,12,12,12,10,12,12,12,12,  ,0,43,SB Reference  , 45.0,230,0,12,0,0,0,0,0
16,8.2.2017,10:37:14,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 24.7, 23.0, 16.2, 78.6, 28.9, 25.3, 2.2,OFF,10,780,0,5,5,1475,COOLING,03:07:49,Sep 27 2016,180,10,12,12,12,12,12,10,12,12,12,12,  ,0,43,SB Reference  , 45.0,230,0,12,0,0,0,0,0
17,8.2.2017,10:37:16,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 24.7, 23.0, 16.2, 78.6, 28.9, 25.3, 2.2,OFF,10,780,0,5,5,1475,COOLING,03:07:49,Sep 27 2016,177,7,12,12,12,12,12,10,12,12,12,12,  ,0,43,SB Reference  , 45.0,230,0,12,0,0,0,0,0
