   Log,     Log  ,    Log  , Remote, Op Type:,  AirCon,  AirCon,Compresr,Compresr,Compresr,Compresr,Compresr,Compresr,Compresr,    EEV,   EEV,    'C,    'C,    'C,    'C,    'C,    'C,    'C,  Thermal,  OU Fan,  OU Fan,  OU Fan,RemotFan,  IUFan,  IU Fan,4Way,ACIT Ver.,ACIT Ver.,Thm. Cut,Thm. Cut,Tc Protect,Te Protect,Td Protect,CurProtct,HeatSink,OutTemp,SuctProtc,VoltProtc,DewProt.,SleepLimt,  Defrost,TotalTime,     'C,Model,     'C,Voltage,Voltage, Current, Current,   Error,   Error,   Error,   Error
     No,    Date,   Time,Command,USB?Play,SubMode,MainMode,Op Mode,TargtStep,MaxStep,MinStep,FinalStep,FinalFreq, RealFreq, CycleM,  Pulse,  IU Air,RemotSet, IU Pipe,Discharge, OU Pipe,OU Air,   error,    Cut,TargtStep,TargtRpm,RealRpm, TargtStep,TargtStep,TargtFreq, Valve, Time,    Date,Slow Tmr,Fast Tmr,  MaxStep, MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,ActiveAlg,Heating,Target  Td, Name,HeatSink,  Input , DCLink,OU Input ,Compressor, OU PFC,OUGenerl,OU Comp,     IU
14,8.6.2015,16:54:46,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,92,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
15,8.6.2015,16:54:48,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,94,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
16,8.6.2015,16:54:50,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,96,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
17,8.6.2015,16:54:52,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,98,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
18,8.6.2015,16:54:54,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,100,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
19,8.6.2015,16:54:56,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,102,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
20,8.6.2015,16:54:58,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,104,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
21,8.6.2015,16:55:00,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,106,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
22,8.6.2015,16:55:02,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,108,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
23,8.6.2015,16:55:04,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,110,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
